StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
30,0,198012,2.16,19,-1.2,-1.2,-1.6,-1.2,0,1238,-1,-0.63,-0.29,-0.62,-0.71,-1.06,-0.12,8.3,29.6
30,0,198101,0.88,11.9,-2.12,-2.12,-3.12,-2.12,0,1463,-3.09,-2.21,-1.86,-1.37,-1.58,-1.17,-1,1.8,22
30,0,198102,4.69,29.4,-0.59,-0.59,3.93,1.26,0,897,2.07,0.18,-0.53,-0.23,-0.36,-0.22,-0.59,19.6,39.2
30,0,198103,1.13,31.8,-1.57,-1.57,-3.13,-1.12,0,908,-2.04,0.21,-1.18,-1.01,-1.11,-1.15,-0.85,22.7,40.9
30,0,198104,3.32,46,-1.64,-1.64,-0.68,-1.39,0,481,0.12,-1.44,0.17,-1.19,-1.05,-1.37,-0.89,35,57
30,0,198105,3.2,55.2,-1.71,-1.71,-0.74,-1.71,13,230,-0.21,-0.07,-1.17,-1.29,-0.84,-0.88,-1.04,42.5,67.8
30,0,198106,3.86,64,0.09,-1.45,0.27,-1.24,96,35,0.16,-0.09,-0.05,-0.76,-0.77,-0.95,-0.75,52.9,75
30,0,198107,4.18,68.5,0.37,-1.01,0.87,-0.3,230,4,0.38,0.25,0.03,0.08,-0.82,-0.81,-0.56,58,79
30,0,198108,3.25,65.7,0.2,-1.04,-0.4,-0.48,152,19,-0.4,-0.1,0.02,-0.8,-0.98,-0.71,-0.77,54.9,76.6
30,0,198109,5.56,57.3,1.2,1.2,3.07,1.2,23,141,1.3,0.86,0.85,0.44,-0.11,-0.26,-0.77,49,65.7
30,0,198110,5.11,44.1,2.34,2.34,3.77,2.34,0,526,1.04,1.6,1.18,0.85,0.83,0.03,-0.58,34.6,53.6
30,0,198111,2.31,36.5,-0.42,1.68,-1.25,1.07,0,724,-0.93,0.36,0.99,0.65,-0.01,-0.22,-0.83,28.5,44.5
30,0,198112,2.66,25.4,-0.64,1.24,-0.81,0.23,0,1098,-0.45,-0.98,0.07,0.52,0.34,-0.06,-0.75,19,31.9
30,0,198201,3.14,12,-0.37,1.31,0.61,0.55,0,1460,0.42,-0.16,-0.68,0.58,0.42,0.45,-0.41,1.9,22.1
30,0,198202,2.6,21.4,-0.3,1.21,0.09,0.46,0,1057,0.17,0.31,-0.12,0.77,0.55,-0.05,-0.18,12.3,30.5
30,0,198203,2.6,29.7,-0.48,0.87,-0.63,-0.13,0,952,-0.45,-0.26,-0.04,-0.02,0.42,0.27,-0.54,19.4,40
30,0,198204,2.77,40.4,-0.59,0.63,-0.47,-0.51,0,630,-0.44,-0.64,-0.54,-0.92,0.25,0.15,-0.7,28.8,52.1
30,0,198205,2.89,57.2,-1.04,-1.04,-1.52,-1.04,18,204,-0.47,-0.58,-0.8,-0.72,0.15,0.08,-0.51,45.1,69.3
30,0,198206,5.88,60.7,1.28,1.28,3.85,1.28,30,93,1.34,0.71,0.41,0.3,0.21,0.52,-0.28,50.8,70.5
30,0,198207,2.62,68.1,-0.51,0.64,-1.52,-0.34,200,5,-1.18,0.47,0.09,-0.27,-0.58,0.21,-0.45,56,80.2
30,0,198208,3.01,63,-0.65,-0.65,-0.59,-0.65,105,43,-0.65,-1.31,0.12,-0.51,-0.51,0.13,-0.42,51.9,74.1
30,0,198209,3.17,59,-0.87,-0.87,-0.86,-0.87,28,119,-0.32,-0.77,-1.39,-0.51,-0.53,-0.39,-0.48,48.4,69.6
30,0,198210,1.62,48.5,-1.66,-1.66,-2.63,-1.66,0,413,-1.4,-1.26,-1.44,-0.92,-1.12,-1.35,-0.84,37.1,60
30,0,198211,4.64,40.1,-1.45,-1.45,0.12,-1.32,0,628,1.03,-0.23,-0.47,-0.34,-0.75,-0.74,-0.62,31.8,48.4
30,0,198212,2.38,32.2,-1.72,-1.72,-1.27,-1.72,0,890,-0.76,0.34,-0.6,-1.31,-0.77,-0.77,-0.57,23.3,41
30,0,198301,2.47,22.2,-1.71,-1.71,-0.49,-1.71,0,1162,-0.26,-0.84,0.09,-1.1,-0.78,-0.96,-0.29,14,30.4
30,0,198302,1.83,25.1,-1.98,-1.98,-1.33,-1.98,0,996,-0.82,-0.88,-1.18,-1.17,-0.86,-1.2,-0.78,15.5,34.7
30,0,198303,3.53,34.4,0.19,-1.58,0.58,-1.25,0,830,0.47,-0.14,-0.38,-0.79,-1.38,-0.92,-0.4,26,42.8
30,0,198304,6.42,41.9,2.1,2.1,5.8,2.1,0,573,2.59,2.15,1.65,1.11,-0.02,-0.03,0.05,33,50.8
30,0,198305,4.73,52,2.53,2.53,1.94,2.53,2,324,0.92,1.97,2.02,1.07,0.46,0.39,0.26,41.2,62.8
30,0,198306,3.02,64.5,-0.36,1.91,-1.09,1.38,99,31,-0.51,0.25,1.34,1.02,0.38,-0.26,0.13,51.7,77.2
30,0,198307,1.93,69.7,-1.36,0.68,-3.09,-1.19,247,2,-2.21,-1.61,-0.63,0.44,0.4,-0.39,-0.19,57.5,82
30,0,198308,4.82,67.9,-0.89,0.94,0.99,-0.44,200,9,1,-0.55,-0.74,0.99,0.34,0.01,0.06,56.8,79.1
30,0,198309,2.58,60.9,-1.59,-1.59,-2.38,-1.59,66,72,-0.84,0.06,-1.03,0.48,0.26,-0.12,-0.38,48.9,73
30,0,198310,3.36,48.4,-1.75,-1.75,-0.98,-1.75,0,403,0.03,-0.62,-0.03,-0.5,0.31,0.28,-0.67,38.1,58.7
30,0,198311,4.98,37.5,0.38,-1.19,1.14,-0.56,0,688,1.27,0.77,0.19,-0.41,0.86,0.36,-0.24,29.7,45.3
30,0,198312,5.93,21.9,1.79,1.79,4.35,1.79,0,1143,2.22,2.11,1.62,0.68,1.29,1.12,0.28,14.5,29.3
30,0,198401,1.61,16.7,0.97,0.97,-1.92,-0.03,0,1327,-1.44,1.03,1.49,0.94,0.35,0.95,0.07,7.8,25.6
30,0,198402,3.27,30,1.31,1.31,1.32,0.9,0,865,0.86,-0.38,1.3,0.88,0.24,1.27,0.14,21.3,38.7
30,0,198403,2.73,24.2,1.04,1.04,-0.41,0.39,0,1091,-0.32,0.34,-0.53,1.16,0.37,1.07,0.13,14.7,33.7
30,0,198404,4.05,43.8,1.3,1.3,1.11,1.07,0,564,0.8,0.37,0.7,1.56,1.11,0.56,0.29,34.1,53.5
30,0,198405,7.28,51.6,3.01,3.01,5.53,3.01,3,311,2.45,2.04,1.81,2.18,1.66,1.1,0.91,41.2,61.9
30,0,198406,3.19,64.8,2.41,2.41,-0.89,1.98,118,26,-0.36,1.41,1.46,1.06,1.7,1.1,0.52,52.7,76.8
30,0,198407,4.33,67.2,2.56,2.56,1.21,2.56,169,10,0.5,-0.01,1.36,1.52,1.87,1.54,0.8,56.6,77.9
30,0,198408,4.34,68.4,2.6,2.6,0.9,2.6,213,9,0.62,0.68,0.27,1.41,1.78,1.43,1,58.3,78.5
30,0,198409,2.84,56.4,-0.22,2.11,-0.65,1.77,16,165,-0.61,-0.07,0.18,1.2,0.9,1.5,0.95,45.5,67.3
30,0,198410,2.16,51.2,-0.84,1.25,-1.93,0.04,4,317,-0.88,-1.14,-0.66,0.58,0.81,1.32,1,40.6,61.9
30,0,198411,2.98,36.5,-1.18,0.69,-1.28,-1.01,0,720,-0.28,-0.9,-1.2,-0.68,0.5,0.95,0.78,27.7,45.3
30,0,198412,3.81,31.6,-0.72,0.96,1.01,-0.28,0,887,0.63,0.21,-0.44,-0.28,0.69,0.49,1.02,23.7,39.5
30,0,198501,1.86,16.1,-1.15,-1.15,-1.5,-1.15,0,1345,-1.04,-0.25,-0.36,-0.81,0.3,0.54,0.92,7.9,24.2
30,0,198502,2.21,22.8,-1.24,-1.24,-0.63,-1.24,0,1031,-0.3,-1.09,-0.44,-1.29,-0.83,0.3,0.98,13.9,31.7
30,0,198503,3.04,33,-1.12,-1.12,-0.03,-1.05,0,831,-0.01,-0.22,-0.88,-0.96,-0.67,0.34,0.87,22.2,43.7
30,0,198504,1.96,45.6,-2.02,-2.02,-3.05,-2.02,0,487,-1.4,-0.95,-1.03,-1.01,-1.28,-0.14,0.23,34.5,56.7
30,0,198505,3.08,56.3,-2.18,-2.18,-1.1,-2.18,18,201,-0.31,-0.99,-0.9,-1.03,-1.5,-1.17,-0.01,44.1,68.5
30,0,198506,3.95,59.5,0.39,-1.56,1.18,-0.97,36,95,0.22,-0.11,-0.67,-1.17,-1.15,-0.94,0.12,49.2,69.9
30,0,198507,3,67,-0.24,-1.64,-0.73,-1.32,183,10,-0.73,-0.31,-0.48,-1.03,-1.09,-1.3,0.29,55.5,78.4
30,0,198508,3.22,65.6,-0.41,-1.66,-0.57,-1.51,151,21,-0.43,-0.9,-0.52,-1.06,-1.15,-1.51,0.07,54.6,76.5
30,0,198509,4.9,60.7,0.49,-1,1.47,-0.12,52,83,0.91,0.49,-0.01,-0.58,-0.99,-1.02,0.42,49.9,71.4
30,0,198510,3.29,48.9,0.56,-0.78,0.34,0.26,2,384,-0.01,0.5,0.24,-0.19,-0.68,-0.79,0.39,38.3,59.5
30,0,198511,5.9,38.9,1.8,1.8,3.91,1.8,0,645,1.86,1.12,1.38,0.65,0.1,-0.08,0.53,32.1,45.7
30,0,198512,2.52,21.9,-0.34,1.27,-1.03,0.7,0,1167,-0.6,1.05,0.73,0.45,-0.04,-0.36,0.07,15,28.7
30,0,198601,3.06,21.2,-0.15,1.3,0.48,0.91,0,1185,0.35,-0.32,1.05,0.83,0.34,-0.07,0.3,12,30.3
30,0,198602,2.65,20.3,-0.07,1.23,0.18,0.86,0,1109,0.22,0.29,-0.22,1.06,0.5,0.01,0.18,12.3,28.4
30,0,198603,2.93,33.9,-0.19,0.98,-0.36,0.39,0,842,-0.12,0.03,0.15,0.67,0.44,-0.03,0.18,23.5,44.4
30,0,198604,2.57,46.7,-0.89,-0.89,-2.19,-0.89,0,482,-0.66,-0.54,-0.43,0.52,0.53,0.11,-0.04,35.5,57.9
30,0,198605,3.31,57.9,-1.16,-1.16,-1.06,-1.16,25,175,-0.13,-0.44,-0.49,-0.56,0.54,0.16,-0.63,46.3,69.5
30,0,198606,5.69,61.7,1.14,1.14,3.43,1.14,65,59,1.24,0.81,0.42,0.42,0.69,0.53,-0.26,50.3,73
30,0,198607,5.57,67.5,2.12,2.12,3.29,2.12,185,8,1.4,1.63,1.28,0.85,1.19,1.07,-0.09,57.8,77.3
30,0,198608,4.49,64.3,2.7,2.7,2.39,2.7,116,32,0.74,1.51,1.7,1.02,0.79,1.28,-0.05,54.1,74.5
30,0,198609,3.73,57.5,2.8,2.8,1.13,2.8,22,142,0.12,0.54,1.17,1.01,1,1.08,0.1,47.8,67.2
30,0,198610,3.38,47.6,2.85,2.85,1.01,2.85,0,421,0.05,-0.02,0.31,1.11,0.84,1.14,0.26,37.8,57.4
30,0,198611,3.95,34.3,3.06,3.06,1.52,3.06,0,784,0.53,0.31,0.25,1.36,0.92,0.76,0.41,26.4,42.2
30,0,198612,3.35,28.2,2.84,2.84,0.28,2.84,0,1000,0.22,0.49,0.33,0.93,0.92,0.93,0.38,21.8,34.7
30,0,198701,3.38,20.3,2.88,2.88,1.01,2.88,0,1224,0.63,0.48,0.68,0.66,1.25,1,0.6,11.9,28.7
30,0,198702,0.62,18.9,-1.18,1.4,-3.55,-0.13,0,1115,-3.09,-1.16,-0.76,-0.24,0.92,0.57,0.36,7.9,29.9
30,0,198703,2.2,34.7,-1.64,0.68,-1.74,-1.49,0,826,-0.86,-2.51,-1.56,-0.62,0.22,0.37,0.2,23.6,45.6
30,0,198704,4.13,47.4,-1.31,0.77,0.48,-1.09,0,479,0.87,0.07,-1.21,-0.26,0.03,0.74,0.48,36.9,57.9
30,0,198705,1.81,56.1,-2.12,-2.12,-2.82,-2.12,13,228,-1.48,-0.4,-0.87,-1.24,-0.7,0.39,0.31,44.2,68
30,0,198706,4.46,65.2,0.24,-1.66,0.73,-1.26,109,26,0.55,-0.52,-0.04,-0.96,-0.51,0.1,0.37,54.4,76
30,0,198707,4.31,70.1,0.42,-1.28,0.62,-0.55,244,2,0.49,0.6,-0.24,-0.92,-0.36,-0.14,0.59,59.4,80.8
